date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:51	74/74	---M--	200	added ('OK')	text/plain	etag:W/%224a-18fbc513248%22	https://www.petsimxvalues.com/robots.txt		(from )
17:29:52	1632117/1632117	---MCZ	200	added ('OK')	text/html	etag:%2215m1i27vqrxyzci%22	https://www.petsimxvalues.com/	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/index.html	(from )
17:29:52	668681/668681	---M--	200	added ('OK')	image/png	etag:W/%22a3409-18fbc513248%22	https://www.petsimxvalues.com/logo.png	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/logo.png	(from https://www.petsimxvalues.com/)
17:29:52	6114/6114	---MCZ	404	error ('Not%20Found')	text/html	etag:%22j67f2dt5s04pu%22	https://www.petsimxvalues.com/skull.svg	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/skull.svg	(from https://www.petsimxvalues.com/)
17:29:52	27352/27352	---MCZ	200	added ('OK')	text/css	etag:W/%226ad8-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/css/ea521ee4b2e86330.css	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/css/ea521ee4b2e86330.css	(from https://www.petsimxvalues.com/)
17:29:52	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.petsimxvalues.com/)
17:29:53	1539/1539	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/webpack-ecab96d9c6b78b24.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/webpack-ecab96d9c6b78b24.js	(from https://www.petsimxvalues.com/)
17:29:53	140984/140984	---MCZ	200	added ('OK')	application/javascript	etag:W/%22226b8-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/framework-5429a50ba5373c56.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/framework-5429a50ba5373c56.js	(from https://www.petsimxvalues.com/)
17:29:53	124022/124022	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e476-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/main-eafe3c5c27561050.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/main-eafe3c5c27561050.js	(from https://www.petsimxvalues.com/)
17:29:53	16007/16007	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e87-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/pages/_app-70a637c5ff9f50d7.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/pages/_app-70a637c5ff9f50d7.js	(from https://www.petsimxvalues.com/)
17:29:53	9217/9217	---MCZ	200	added ('OK')	application/javascript	etag:W/%222401-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/869-6cad979dd2ca77f7.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/869-6cad979dd2ca77f7.js	(from https://www.petsimxvalues.com/)
17:29:54	4289/4289	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210c1-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/chunks/pages/index-84538c9a28a8ee76.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/chunks/pages/index-84538c9a28a8ee76.js	(from https://www.petsimxvalues.com/)
17:29:54	926/926	---M--	200	added ('OK')	application/javascript	etag:W/%2239e-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/v0KOHbu7YL6pqhm1yFDmD/_buildManifest.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/v0KOHbu7YL6pqhm1yFDmD/_buildManifest.js	(from https://www.petsimxvalues.com/)
17:29:54	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-18fbc51da40%22	https://www.petsimxvalues.com/_next/static/v0KOHbu7YL6pqhm1yFDmD/_ssgManifest.js	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/static/v0KOHbu7YL6pqhm1yFDmD/_ssgManifest.js	(from https://www.petsimxvalues.com/)
17:29:55	774302/774302	---MCZ	200	added ('OK')	text/html	etag:%22ri3fpuirftglgd%22	https://www.petsimxvalues.com/win-loss-calculator	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/win-loss-calculator.html	(from https://www.petsimxvalues.com/)
17:29:55	10053/10053	---M--	200	added ('OK')	image/png	etag:Qi1m6-kmXxZx4pu8agN-vYIwsR3R4gLdBy-CMAOoBBY=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F17285296068&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/172852960685000.png	(from https://www.petsimxvalues.com/)
17:29:55	897293/897293	---MCZ	200	added ('OK')	text/html	etag:%22w98f68yr12j8cs%22	https://www.petsimxvalues.com/pet/titanic-black-hole-angelus	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-black-hole-angelus.html	(from https://www.petsimxvalues.com/)
17:29:55	885555/885555	---MCZ	200	added ('OK')	text/html	etag:%22a18sq497xizaq%22	https://www.petsimxvalues.com/pet/titanic-butterfly	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-butterfly.html	(from https://www.petsimxvalues.com/)
17:29:55	4541/4541	---M--	200	added ('OK')	image/png	etag:EXoo6Sx2ct2IxCEWFefhMirviuKzGcNAm2BnSi1l49E=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F17821211666&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/178212116663fac.png	(from https://www.petsimxvalues.com/)
17:29:56	12192/12192	---M--	200	added ('OK')	image/png	etag:VZkrApjuPHALbJCqdbPYRB7rDBbTIV8LrHA4tjV6ZSo=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F14976647939&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/14976647939d638.png	(from https://www.petsimxvalues.com/)
17:29:56	891238/891238	---MCZ	200	added ('OK')	text/html	etag:%22111gj8iemjij3ol%22	https://www.petsimxvalues.com/pet/titanic-neon-agony	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-neon-agony.html	(from https://www.petsimxvalues.com/)
17:29:56	15147/15147	---M--	200	added ('OK')	image/png	etag:Zzil1SsK3xVa2wMlOVXous8L4w88Jovfq8iXWLedYNo=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F14976584980&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/14976584980bc8a.png	(from https://www.petsimxvalues.com/)
17:29:56	894691/894691	---MCZ	200	added ('OK')	text/html	etag:%22bqjbtbg78j6ci%22	https://www.petsimxvalues.com/pet/titanic-atlantean-jellyfish	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-atlantean-jellyfish.html	(from https://www.petsimxvalues.com/)
17:29:57	5983/5983	---M--	200	added ('OK')	image/png	etag:XfHMzR3fMhnVXxs9zi2Fz6jUHgCMZXA3QlyJUw+Fr7k=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F15260478604&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/15260478604f735.png	(from https://www.petsimxvalues.com/)
17:29:57	891276/891276	---MCZ	200	added ('OK')	text/html	etag:%22177dnzlqea2j3pn%22	https://www.petsimxvalues.com/pet/titanic-nightmare-cat	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-nightmare-cat.html	(from https://www.petsimxvalues.com/)
17:29:57	5125/5125	---M--	200	added ('OK')	image/png	etag:i8bQO0EJqgz-8zg8hbq65ZzMVuo594ryhstIWwsmUcM=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F15687351099&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/15687351099d46d.png	(from https://www.petsimxvalues.com/)
17:29:57	894425/894425	---MCZ	200	added ('OK')	text/html	etag:%22ekpy9vmv41j654%22	https://www.petsimxvalues.com/pet/titanic-silver-dragon	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-silver-dragon.html	(from https://www.petsimxvalues.com/)
17:29:57	17434/17434	---M--	200	added ('OK')	image/png	etag:pXUP5uI76sgxCY5UuPoWGF8-ufU1HE5y6ksHO8TLc9Y=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F17277934726&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/1727793472697a7.png	(from https://www.petsimxvalues.com/)
17:29:58	887600/887600	---MCZ	200	added ('OK')	text/html	etag:%22t0d2ks6ev3j0vj%22	https://www.petsimxvalues.com/pet/huge-bubble-dog	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/huge-bubble-dog.html	(from https://www.petsimxvalues.com/)
17:29:58	890752/890752	---MCZ	200	added ('OK')	text/html	etag:%22m5iwn7n0g4j3b3%22	https://www.petsimxvalues.com/pet/titanic-jelly-dragon	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-jelly-dragon.html	(from https://www.petsimxvalues.com/)
17:29:58	9272/9272	---M--	200	added ('OK')	image/png	etag:ehxFTFNQGNSK0ygwnwcSZI0PK1vesx7p4epom5MzQbM=	https://www.petsimxvalues.com/_next/image?url=https%3A%2F%2Fbiggamesapi.io%2Fimage%2F16483343520&w=384&q=75	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/_next/16483343520acf3.png	(from https://www.petsimxvalues.com/)
17:29:58	891185/891185	---MCZ	200	added ('OK')	text/html	etag:%221g5nph14cij3n4%22	https://www.petsimxvalues.com/pet/titanic-lovemelon	C:/My%20Web%20Sites/jhon/www.petsimxvalues.com/pet/titanic-lovemelon.html	(from https://www.petsimxvalues.com/)
